file,question,answer
4263096481.csv,Người này đang sử dụng dụng cụ gì để sơ chế cá?,"Người này đang sử dụng một dụng cụ màu tối, có thể là dao hoặc đồ cạo vảy cá."
4263096481.csv,Người này có đeo phụ kiện gì không?,"Có, người này đeo đồng hồ và vòng tay ở cổ tay trái."
4263096481.csv,Môi trường xung quanh là ở đâu?,Môi trường xung quanh có vẻ là ở ngoài trời.
4263096481.csv,Người này đeo gì ở cổ tay?,Người này đeo đồng hồ ở cổ tay trái và một chiếc vòng tay ở cổ tay phải.
4263096481.csv,"Ngoài con dao đang dùng, còn bao nhiêu con dao khác trong ảnh?",Có một con dao khác nằm trên bề mặt kim loại.
4263096481.csv,Bối cảnh trong ảnh là ở đâu?,"Bối cảnh có vẻ là ở ngoài trời, có cây cối xung quanh."
4263096481.csv,Người trong ảnh đang làm gì?,Người đó đang làm sạch cá.
4263096481.csv,Con cá nằm ở đâu?,"Con cá nằm trên một bề mặt kim loại, có thể là bồn rửa hoặc khu vực làm sạch."
4263096481.csv,Có bao nhiêu con dao xuất hiện trong ảnh?,Có hai con dao xuất hiện trong ảnh.
4263096481.csv,Màu sắc chủ yếu của con cá là gì?,Màu sắc chủ yếu của con cá là xanh bạc.
4263096481.csv,Bối cảnh xung quanh nơi người đó làm cá là gì?,"Bối cảnh xung quanh là cây xanh, có thể là vườn hoặc môi trường ngoài trời."
4263096481.csv,Người trong ảnh đang làm gì?,Người đó đang lọc thịt cá (filleting fish).
4263096481.csv,Bồn rửa được làm bằng chất liệu gì?,Bồn rửa được làm bằng thép không gỉ.
4263096481.csv,Có bao nhiêu con dao có thể nhìn thấy trong ảnh?,Có hai con dao có thể nhìn thấy trong ảnh.
4263096481.csv,Khung cảnh này diễn ra ở đâu?,Có vẻ như khung cảnh diễn ra ở ngoài trời.
4263096481.csv,Người đàn ông đang làm gì trong ảnh?,Người đàn ông đang sơ chế hoặc cắt cá.
4263096481.csv,Con cá nằm ở đâu?,"Con cá nằm trên một bề mặt bằng thép không gỉ, có vẻ như là một phần của bồn rửa."
4263096481.csv,Có bao nhiêu con dao trong ảnh?,Có hai con dao trong ảnh.
4263096481.csv,Màu sắc chủ đạo của con cá là gì?,Màu sắc chủ đạo của con cá là màu bạc.
4263096481.csv,Bối cảnh xung quanh diễn ra ở đâu?,"Bối cảnh xung quanh diễn ra ở ngoài trời, có cây cối."
4263096481.csv,Người trong ảnh đang làm gì?,Người đó đang lọc thịt cá.
4263096481.csv,Có bao nhiêu con dao trên bàn?,Có hai con dao trên bàn.
4263096481.csv,Bàn được làm bằng chất liệu gì?,Bàn được làm bằng kim loại màu bạc.
4263096481.csv,Cảnh này diễn ra ở đâu?,Cảnh này diễn ra ở ngoài trời.
4263096481.csv,Người trong ảnh đang làm gì?,Người đó đang chuẩn bị hoặc cắt cá.
4263096481.csv,Con cá nằm trên bề mặt nào?,"Con cá nằm trên một bề mặt kim loại, có thể là bồn rửa hoặc một khu vực chuẩn bị thức ăn tạm thời."
4263096481.csv,Có bao nhiêu người xuất hiện trong ảnh?,"Chỉ có thể nhìn thấy một người, cụ thể là hai bàn tay của người đó."
4263096481.csv,Vị trí trong ảnh có vẻ là ở đâu?,"Có vẻ như vị trí trong ảnh là ở ngoài trời, có thể là gần cây cối."
4263096481.csv,"Ngoài con dao, có vật dụng nào khác trên bề mặt kim loại không?","Có, có một vật dụng khác trên bề mặt kim loại gần con cá, có thể là một công cụ nào đó."
4263096481.csv,Người trong ảnh đang làm gì?,Người trong ảnh đang làm sạch cá.
4263096481.csv,Người này đang dùng dụng cụ gì để làm sạch cá?,Người này đang dùng dao.
4263096481.csv,Người này đeo gì ở cổ tay trái?,Người này đeo đồng hồ ở cổ tay trái.
4263096481.csv,Cảnh này diễn ra ở đâu?,"Cảnh này diễn ra ở ngoài trời, trong một môi trường tự nhiên."
4263096481.csv,Người này đang làm gì với con cá?,Người này đang làm sạch cá.
4263096481.csv,Có dụng cụ gì khác ngoài dao trên bồn rửa?,Có một cái kìm trên bồn rửa.
4263096481.csv,Người đàn ông đeo gì trên cổ tay?,Người đàn ông đeo đồng hồ ở cổ tay trái và vòng tay ở cổ tay phải.
4263096481.csv,Người đàn ông đang làm gì trong ảnh?,Người đàn ông đang cắt đầu một con cá.
4263096481.csv,Con cá có màu gì?,Con cá có màu bạc và hơi xanh.
4263096481.csv,Người đàn ông đeo gì trên cổ tay trái?,Người đàn ông đeo đồng hồ và một chiếc vòng tay.
4263096481.csv,Bối cảnh trong ảnh có vẻ như ở đâu?,"Bối cảnh có vẻ như ở ngoài trời, có lẽ gần cây cối."
4263096481.csv,"Ngoài con dao đang dùng, còn vật gì màu đen gần đó không?","Có một vật thể màu đen khác ở phía trên bên phải con cá, có thể là một con dao hoặc dụng cụ khác."
4263096481.csv,Người trong ảnh đang làm gì?,Người đó đang làm sạch (mổ) cá.
4263096481.csv,Con cá trong ảnh có màu gì?,Con cá có màu bạc.
4263096481.csv,Hoạt động này diễn ra ở đâu?,Hoạt động này diễn ra ở ngoài trời.
4263096481.csv,Vật liệu của bề mặt mà con cá đang nằm là gì?,Bề mặt đó làm bằng kim loại.
4263096481.csv,Bồn rửa này có vẻ được đặt ở đâu?,Bồn rửa có vẻ được đặt ở ngoài trời.
4263096481.csv,Con cá trong ảnh có màu gì?,Con cá trong ảnh có màu bạc và xám.
4263096481.csv,Người này đang sử dụng công cụ gì để làm sạch cá?,Người này đang sử dụng một con dao.
4263096481.csv,Bối cảnh của bức ảnh là ở đâu?,"Bối cảnh của bức ảnh là ở ngoài trời, trong một môi trường tự nhiên."
4263096481.csv,Con cá nằm trên bề mặt gì?,"Con cá nằm trên một bề mặt kim loại, có thể là bồn rửa hoặc bàn sơ chế."
4263096481.csv,Bồn rửa được làm bằng chất liệu gì?,"Bồn rửa có vẻ được làm bằng kim loại, có thể là thép không gỉ."
4263096481.csv,Người này đeo những phụ kiện gì trên tay?,Người này đeo đồng hồ ở cổ tay trái và vòng tay ở cổ tay phải.
4263096481.csv,Khu vực xung quanh có đặc điểm gì nổi bật?,"Khu vực xung quanh có cây cối, tạo cảm giác tự nhiên."
4263096481.csv,Người này đang làm gì trong ảnh?,Người này đang sơ chế cá.
4263096481.csv,Con cá có màu gì?,Con cá có màu bạc tối.
4263096481.csv,Người này đang dùng vật dụng gì để sơ chế cá?,"Người này đang sơ chế cá trên một bề mặt kim loại, có thể là bồn rửa."
4263096481.csv,Có thể xác định được vị trí chụp ảnh là ở đâu không?,Có vẻ như ảnh được chụp ở ngoài trời.
4263096481.csv,Người này đang dùng bao nhiêu tay để giữ cá?,Người này dùng cả hai tay để giữ cá.
4263096481.csv,Người đàn ông đeo những phụ kiện gì trên tay?,Anh ta đeo đồng hồ ở cổ tay trái và vòng tay ở cổ tay phải.
4263096481.csv,Bề mặt mà người này đang làm việc được làm bằng chất liệu gì?,Bề mặt được làm bằng kim loại.
4263096481.csv,Bối cảnh xung quanh có vẻ là môi trường như thế nào?,"Bối cảnh có vẻ là môi trường ngoài trời, có cây cối."
4263096481.csv,Người đàn ông đang làm gì trong bức ảnh?,Người đàn ông đang làm sạch cá.
4263096481.csv,Con cá trong ảnh có màu gì?,Con cá trong ảnh có màu bạc.
4263096481.csv,Người đàn ông đeo phụ kiện gì trên tay?,Người đàn ông đeo đồng hồ ở cổ tay trái và vòng tay ở cổ tay phải.
4263096481.csv,Bối cảnh xung quanh diễn ra ở đâu?,"Bối cảnh diễn ra ở ngoài trời, có cây xanh."
4263096481.csv,Người này đang mặc áo màu gì?,Người này đang mặc áo màu đen.
4263096481.csv,Có vật dụng gì được sử dụng để làm sạch cá?,Một con dao được sử dụng để làm sạch cá.
4263096481.csv,Con cá nằm trên bề mặt gì?,"Con cá nằm trên bề mặt kim loại, có thể là bồn rửa hoặc mặt bàn."
4263096481.csv,Người đó đeo gì ở tay?,Người đó đeo một chiếc đồng hồ ở cổ tay trái.
4263096481.csv,Dụng cụ gì được sử dụng để làm sạch cá?,Một con dao được sử dụng để làm sạch cá.
4263096481.csv,Con cá đang được làm sạch trên bề mặt gì?,Con cá đang được làm sạch trên một bề mặt kim loại hoặc nhựa.
4263096481.csv,Bối cảnh của bức ảnh là gì?,"Bối cảnh của bức ảnh là một khung cảnh tự nhiên, có thể gần một vùng nước hoặc trong một khu vườn."
4263096481.csv,Con dao nằm ở đâu so với con cá?,"Con dao nằm trên cùng bề mặt với con cá, gần con cá."
4263096481.csv,Địa điểm chụp ảnh có vẻ là ở đâu?,"Địa điểm có vẻ là ở ngoài trời, có cây cối và thảm thực vật xung quanh."
4263096481.csv,Người này có đang đội mũ không?,"Có, người này đang đội một chiếc mũ lưỡi trai."
4263096481.csv,Bề mặt mà người này đang làm sạch cá được làm bằng chất liệu gì?,Bề mặt đó được làm bằng thép không gỉ.
4263096481.csv,Màu sắc chủ đạo của con cá là gì?,Màu sắc chủ đạo của con cá là xám xanh.
4263096481.csv,Người này có đeo phụ kiện gì trên tay không?,"Có, người này đeo đồng hồ ở cổ tay trái."
4263096481.csv,Bối cảnh xung quanh diễn ra ở đâu?,"Bối cảnh xung quanh diễn ra ở ngoài trời, có cây xanh."
4263096481.csv,Người đàn ông đang làm gì với con cá?,Người đàn ông có vẻ như đang mổ bụng con cá.
4263096481.csv,Bề mặt mà con cá đang nằm trên đó được làm bằng chất liệu gì?,Bề mặt đó có vẻ được làm bằng thép không gỉ.
4263096481.csv,Người đàn ông đeo gì trên tay?,Người đàn ông đeo đồng hồ ở cổ tay trái và vòng tay ở cổ tay phải.
4263096481.csv,"Ngoài con dao mà người đàn ông đang cầm, còn có bao nhiêu con dao khác trong ảnh?",Có một con dao khác nằm trên bồn rửa.
4263096481.csv,Phông nền của bức ảnh gợi ý về địa điểm gì?,"Phông nền gợi ý một địa điểm ngoài trời, có thể là gần cây cối hoặc bụi rậm."
4263096481.csv,Người đàn ông trong ảnh đang làm gì?,Anh ta đang làm sạch một con cá.
4263096481.csv,Người đàn ông đội gì trên đầu?,Anh ta đội mũ lưỡi trai.
4263096481.csv,Có vật gì nằm trên bề mặt kim loại bên cạnh con cá?,Một con dao.
4263096481.csv,Người đàn ông đeo gì trên cổ tay trái?,Anh ta đeo đồng hồ.
4263096481.csv,Bối cảnh của bức ảnh là ở đâu?,"Có vẻ như là ở ngoài trời, có cây cối."
4263096481.csv,Người trong ảnh đang làm gì?,Người trong ảnh dường như đang sơ chế hoặc lọc thịt cá.
4263096481.csv,Người này đang đeo vật gì trên tay?,Người này đang đeo đồng hồ trên tay.
4263096481.csv,Con cá được đặt trên bề mặt làm bằng vật liệu gì?,Con cá được đặt trên bề mặt làm bằng thép không gỉ.
4263096481.csv,Trong ảnh có bao nhiêu con dao?,Trong ảnh có một con dao.
4263096481.csv,Khung cảnh xung quanh là ở đâu?,"Khung cảnh xung quanh có vẻ là ở ngoài trời, có cây cối."
4263096481.csv,Người này đang ở đâu?,"Người này đang ở ngoài trời, có vẻ như ở một khu vực có cây cối."
4263096481.csv,Có những đồ vật gì trên mặt bàn kim loại?,Có một con cá và một con dao.
4263096481.csv,Người trong ảnh có đeo gì trên tay không?,"Có, người này đeo đồng hồ ở cổ tay trái và một vòng tay ở cổ tay phải."
4263096481.csv,Bề mặt kim loại có thể là gì?,Có thể là một chiếc bàn hoặc thớt tạm thời để sơ chế cá.
4263096481.csv,Bề mặt mà người đó đang làm việc được làm bằng vật liệu gì?,Bề mặt đó được làm bằng thép không gỉ.
4263096481.csv,Người này có đeo phụ kiện gì không?,"Có, người này đeo đồng hồ ở cổ tay trái và đội mũ."
4263096481.csv,"Ngoài con cá, còn có vật gì khác trên bề mặt thép không gỉ?","Có một dụng cụ, có thể là dụng cụ mài dao hoặc dụng cụ làm sạch."
4263096481.csv,Khung cảnh trong ảnh là ở đâu?,"Khung cảnh có vẻ là ở ngoài trời, với cây cối và thảm thực vật ở phía sau."
4263096481.csv,Người này có đeo phụ kiện gì không?,"Có, người này đeo đồng hồ trên tay và đội mũ lưỡi trai."
4263096481.csv,Con cá đang nằm ở đâu?,"Con cá đang nằm trên một bề mặt kim loại, có vẻ như là một bồn rửa di động."
4263096481.csv,"Ngoài con dao, có dụng cụ nào khác xuất hiện trong ảnh không?","Có, có một dụng cụ nhỏ khác, có thể để cạo vảy hoặc gỡ xương cá."
4263096481.csv,Bối cảnh của bức ảnh là ở đâu?,"Bối cảnh có vẻ là ở ngoài trời, có cây cối xung quanh."
4273039295.csv,Trong ảnh có màu gì?,Trong ảnh chỉ có màu đen.
4273039295.csv,Có hình dạng nào trong ảnh không?,"Không, không có hình dạng nào trong ảnh."
4273039295.csv,Có ánh sáng trong ảnh không?,"Không, không có ánh sáng trong ảnh."
4273039295.csv,Ảnh này là ảnh màu hay ảnh đen trắng?,Ảnh này là ảnh đen trắng.
4273039295.csv,Bạn có thể nhìn thấy gì trong ảnh?,"Tôi không thể nhìn thấy gì trong ảnh, vì nó hoàn toàn đen."
4273039295.csv,Đứa trẻ đang mặc loại mũ gì?,Đứa trẻ đang mặc một chiếc mũ màu đen.
4273039295.csv,Bộ đồ trượt tuyết của đứa trẻ có những màu gì?,"Bộ đồ trượt tuyết của đứa trẻ có màu đỏ và xanh lam, có sọc trắng."
4273039295.csv,Mặt đất được bao phủ bởi gì?,Mặt đất được bao phủ bởi tuyết.
4273039295.csv,Có thể nhìn thấy gì trên mặt tuyết?,Có thể nhìn thấy dấu chân trên mặt tuyết.
4273039295.csv,Ở phía sau bức ảnh có vật thể màu gì?,Ở phía sau bức ảnh có một vật thể màu xanh lá cây.
4273039295.csv,Đứa trẻ đang đứng ở đâu?,Đứa trẻ đang đứng trên tuyết.
4273039295.csv,Đứa trẻ mặc trang phục màu gì?,Đứa trẻ mặc trang phục màu đỏ và xanh lam.
4273039295.csv,Màu sắc chủ đạo của môi trường xung quanh là gì?,Màu sắc chủ đạo của môi trường xung quanh là màu trắng (tuyết).
4273039295.csv,"Ngoài đứa trẻ, có những đồ vật hoặc người nào khác trong ảnh không?","Có, có một người ở phía trên bên trái và một vật thể màu xanh lá cây ở phía trên bên phải của bức ảnh."
4273039295.csv,Trang phục của đứa trẻ có phù hợp với thời tiết không?,"Có, trang phục của đứa trẻ có vẻ phù hợp với thời tiết lạnh (bộ đồ trượt tuyết mùa đông)."
4273039295.csv,Có bao nhiêu xe trượt tuyết trong ảnh?,Có hai xe trượt tuyết trong ảnh.
4273039295.csv,Đứa trẻ mặc bộ đồ màu gì?,Đứa trẻ mặc bộ đồ màu đỏ và xanh.
4273039295.csv,Thời tiết trong ảnh như thế nào?,Thời tiết trong ảnh là có tuyết.
4273039295.csv,Đứa trẻ đội gì trên đầu?,Đứa trẻ đội mũ đen trên đầu.
4273039295.csv,"Ngoài đứa trẻ ra, còn có ai khác trong ảnh không?","Có, có một người khác trong ảnh, chỉ thấy chân và một phần cơ thể đang kéo xe trượt tuyết."
4273039295.csv,Đứa trẻ trong ảnh đang mặc loại quần áo gì?,"Đứa trẻ đang mặc bộ áo liền quần mùa đông, găng tay và mũ đen."
4273039295.csv,Xe trượt tuyết màu gì đang ở phía sau đứa trẻ?,Có một chiếc xe trượt tuyết màu đỏ ở phía sau đứa trẻ.
4273039295.csv,"Ngoài xe trượt tuyết, còn có gì khác ở phía sau chiếc xe hơi?",Có một chiếc ván trượt tròn màu xanh lá cây ở phía sau xe hơi.
4273039295.csv,Màu sắc chủ đạo của bộ áo liền quần mà đứa trẻ mặc là gì?,"Bộ áo liền quần chủ yếu là màu xanh lam, có tay áo màu đỏ."
4273039295.csv,Đứa trẻ trong ảnh đang mặc quần áo gì?,"Đứa trẻ đang mặc mũ len, găng tay và bộ đồ trượt tuyết."
4273039295.csv,Bộ đồ trượt tuyết của đứa trẻ có những màu gì?,"Bộ đồ trượt tuyết có màu đỏ, trắng và xanh lam."
4273039295.csv,"Ngoài đứa trẻ, còn có những vật gì khác trong ảnh?","Ngoài đứa trẻ, còn có xe trượt và một phần của xe ô tô."
4273039295.csv,Mặt đất trong ảnh được bao phủ bởi gì?,Mặt đất được bao phủ bởi tuyết.
4273039295.csv,Trên áo của đứa trẻ có chữ gì?,Trên áo của đứa trẻ có chữ P.
4273039295.csv,Đứa trẻ trong ảnh đang mặc gì?,"Đứa trẻ đang mặc một chiếc mũ len màu đen, một bộ đồ trượt tuyết màu đỏ và xanh lam với các sọc trắng dọc theo hai bên chân, và đeo găng tay màu xám."
4273039295.csv,Có những đồ vật nào khác trong ảnh ngoài đứa trẻ?,"Có những hình người khác, một chiếc xe trượt tuyết màu đỏ và một chiếc xe hơi ở phía sau."
4273039295.csv,Màu sắc chủ đạo của bộ đồ trượt tuyết là gì?,Màu sắc chủ đạo của bộ đồ trượt tuyết là đỏ và xanh lam.
4273039295.csv,Đứa trẻ có vẻ đang làm gì?,Đứa trẻ có vẻ đang đứng yên và nhìn xuống tuyết.
4273039295.csv,Đứa trẻ trong ảnh đang mặc quần áo màu gì?,Đứa trẻ đang mặc quần áo màu đỏ và xanh lam.
4273039295.csv,Mặt đất trong ảnh được bao phủ bởi gì?,Mặt đất trong ảnh được bao phủ bởi tuyết.
4273039295.csv,Có đồ vật màu đỏ nào ở phía sau đứa trẻ không?,"Có, có một chiếc xe trượt tuyết màu đỏ ở phía sau đứa trẻ."
4273039295.csv,Đứa trẻ trong ảnh có đội mũ không?,"Có, đứa trẻ có đội mũ màu đen."
4273039295.csv,Trong ảnh có bao nhiêu người?,Trong ảnh có thể thấy một đứa trẻ và chân của một vài người khác.
4273039295.csv,Có bao nhiêu đứa trẻ trong ảnh?,Có ít nhất hai đứa trẻ trong ảnh.
4273039295.csv,Người lớn đang làm gì?,Người lớn đang kéo một chiếc xe trượt tuyết.
4273039295.csv,Xe trượt tuyết có màu gì?,Xe trượt tuyết có màu đỏ.
4273039295.csv,Môi trường trong ảnh là gì?,Môi trường trong ảnh là một khu vực phủ đầy tuyết.
4273039295.csv,Đứa trẻ mặc bộ đồ trượt tuyết màu gì?,Đứa trẻ mặc bộ đồ trượt tuyết màu xanh và đỏ.
4273039295.csv,Có bao nhiêu người trong ảnh?,Có ít nhất bốn người trong ảnh.
4273039295.csv,Đứa trẻ mặc bộ đồ màu đỏ và xanh đang làm gì?,Đứa trẻ mặc bộ đồ màu đỏ và xanh đang chạy.
4273039295.csv,Thời tiết trong ảnh như thế nào?,"Thời tiết trong ảnh là mùa đông, có tuyết."
4273039295.csv,Người lớn mặc áo khoác màu gì?,Người lớn mặc áo khoác màu đỏ.
4273039295.csv,Màu sắc chủ đạo của bộ đồ trượt tuyết mà đứa trẻ đang mặc là gì?,Màu đỏ và xanh.
4273039295.csv,Người lớn trong ảnh mặc áo khoác màu gì?,Màu đỏ.
4273039295.csv,Có bao nhiêu người trong ảnh?,Ít nhất là ba người.
4273039295.csv,Người lớn đang kéo vật gì?,Một chiếc xe trượt tuyết màu đỏ.
4273039295.csv,Khung cảnh trong ảnh là mùa nào?,Mùa đông.
4273039295.csv,Thời tiết trong ảnh như thế nào?,Có tuyết và là mùa đông.
4273039295.csv,Đứa trẻ mặc bộ đồ màu gì đang làm gì?,"Đứa trẻ mặc bộ đồ màu đỏ, trắng và xanh đang chạy."
4273039295.csv,"Ngoài đứa trẻ đang chạy, còn có những ai khác trong ảnh?",Có một người lớn mặc áo khoác đỏ và một đứa trẻ khác đang đứng.
4273039295.csv,Cảnh này có thể diễn ra ở đâu?,Có thể diễn ra ở một công viên hoặc khu vực mở có nhiều cây.
4273039295.csv,Mặt đất trong ảnh có gì đặc biệt?,Mặt đất phủ đầy tuyết và có nhiều dấu vết.
4273039295.csv,Đứa trẻ đang làm gì trong bức ảnh?,Đứa trẻ đang chạy.
4273039295.csv,Đứa trẻ mặc quần áo màu gì?,"Đứa trẻ mặc quần áo màu đỏ, trắng và xanh."
4273039295.csv,"Ngoài đứa trẻ, còn có ai khác trong ảnh không?","Có, có một người mặc áo khoác đỏ ở góc dưới bên phải."
4273039295.csv,Thời tiết trong ảnh như thế nào?,Bầu trời u ám.
4273039295.csv,Đứa trẻ đang mặc quần áo màu gì?,"Đứa trẻ đang mặc quần áo màu đỏ, trắng và xanh."
4273039295.csv,Có những loại dấu vết nào trên tuyết?,Có những dấu vết lốp xe hoặc dấu chân trên tuyết.
4273039295.csv,Có bao nhiêu cây có thể nhìn thấy trong nền?,Có một vài cây có thể nhìn thấy trong nền.
4273039295.csv,Đứa trẻ có đang đứng yên không?,"Không, đứa trẻ đang đi bộ hoặc chạy."
4273039295.csv,Đứa trẻ đang mặc loại quần áo gì?,Đứa trẻ đang mặc bộ quần áo trượt tuyết.
4273039295.csv,Màu sắc chủ đạo trên bộ quần áo của đứa trẻ là gì?,Màu sắc chủ đạo là đỏ và xanh lam.
4273039295.csv,Khung cảnh trong ảnh là mùa nào?,Khung cảnh trong ảnh là mùa đông.
4273039295.csv,Có dấu vết gì trên tuyết?,Có dấu vết lốp xe trên tuyết.
4273039295.csv,Trong ảnh có bao nhiêu đứa trẻ?,Trong ảnh có một đứa trẻ.
4273039295.csv,Đứa trẻ trong ảnh đang mặc trang phục gì?,"Đứa trẻ đang mặc một bộ quần áo trượt tuyết mùa đông màu đỏ, trắng và xanh, cùng với găng tay đen và mũ đen."
4273039295.csv,Màu sắc của bộ đồ trượt tuyết là gì?,"Bộ đồ trượt tuyết có màu đỏ, trắng và xanh."
4273039295.csv,Có cái gì ở bên trái của bức ảnh?,Có một cái cây ở bên trái của bức ảnh.
4273039295.csv,Có những dấu vết gì trên tuyết?,Có một vài vết bánh xe trên tuyết.
4273039295.csv,Có bao nhiêu đứa trẻ trong ảnh?,Có một đứa trẻ trong ảnh.
4273039295.csv,Đứa trẻ đang mặc quần áo màu gì?,Đứa trẻ đang mặc quần áo màu xanh lam và đỏ.
4273039295.csv,Đứa trẻ có đang đi về phía người xem không?,"Không, đứa trẻ đang đi ra xa người xem."
4273039295.csv,Có dấu vết nào trên tuyết không?,"Có, có dấu vết trên tuyết."
4273039295.csv,Đứa trẻ đang mặc loại trang phục gì?,Đứa trẻ đang mặc một bộ đồ mùa đông.
4273039295.csv,Màu sắc chủ đạo của áo khoác đứa trẻ là gì?,Áo khoác của đứa trẻ có màu đỏ và xanh.
4273039295.csv,Đứa trẻ có đang di chuyển không?,"Có, có những vệt bánh xe trên tuyết cho thấy đứa trẻ đã di chuyển."
4273039295.csv,Mặt đất trong bức ảnh có gì đặc biệt?,Mặt đất được bao phủ bởi tuyết.
4273039295.csv,Đứa trẻ có đang nhìn về phía máy ảnh không?,"Không, đứa trẻ đang quay lưng lại với máy ảnh."
4273039295.csv,Đứa trẻ đang mặc loại trang phục gì?,Đứa trẻ đang mặc bộ đồ trượt tuyết mùa đông.
4273039295.csv,Có những màu sắc nào trên áo của đứa trẻ?,"Áo của đứa trẻ có màu đỏ, trắng và xanh dương."
4273039295.csv,Địa điểm trong ảnh có đặc điểm gì nổi bật?,Địa điểm trong ảnh được phủ đầy tuyết.
4273039295.csv,Có dấu vết gì trên tuyết?,Có dấu vết bánh xe trên tuyết.
4273039295.csv,Đứa trẻ đang quay mặt về hướng nào?,Đứa trẻ đang quay lưng về phía người chụp ảnh.
4273039295.csv,Đứa trẻ trong ảnh đang ở đâu?,Đứa trẻ đang ở trên một bề mặt phủ đầy tuyết.
4273039295.csv,Đứa trẻ mặc trang phục gì?,"Đứa trẻ mặc một bộ đồ trượt tuyết mùa đông, bao gồm mũ đen, áo khoác đỏ và xanh lam, và quần xanh lam với sọc đỏ trắng."
4273039295.csv,Có những dấu vết nào trên tuyết?,"Có những dấu vết, có thể là dấu chân, trên tuyết."
4273039295.csv,Từ phía đứa trẻ đứng nhìn ra thì có thể thấy đối tượng gì?,Có thể thấy một cái cây ở phía xa.
4273039295.csv,Thời tiết trong ảnh như thế nào?,"Thời tiết có vẻ lạnh, có tuyết."
4273039295.csv,Đứa trẻ trong ảnh đang mặc gì?,"Đứa trẻ đang mặc một bộ đồ trượt tuyết mùa đông màu đỏ và xanh lam, mũ đen và găng tay đen."
4273039295.csv,Mặt đất trong ảnh có gì?,Mặt đất được bao phủ hoàn toàn bằng tuyết.
4273039295.csv,Đứa trẻ đang quay mặt về hướng nào so với máy ảnh?,Đứa trẻ đang quay lưng lại với máy ảnh.
4273039295.csv,Có những dấu vết nào trên tuyết không?,"Có, có những dấu vết trên tuyết cho thấy sự di chuyển."
4273039295.csv,Thời tiết trong ảnh có vẻ như thế nào?,Thời tiết có vẻ như là một ngày nhiều mây.
4273039295.csv,Trong ảnh có bao nhiêu người?,Trong ảnh có một người.
4273039295.csv,Đứa trẻ đang mặc quần áo màu gì?,Đứa trẻ đang mặc quần áo màu xanh và đỏ.
4273039295.csv,Cảnh trong ảnh là gì?,Cảnh trong ảnh là một phong cảnh đầy tuyết.
4273039295.csv,"Ngoài đứa trẻ, còn có gì khác trong ảnh?",Trong ảnh còn có tuyết và một cái cây.
4273039295.csv,Đứa trẻ đang làm gì trong ảnh?,Đứa trẻ đang chạy trên tuyết.
4273039295.csv,Đứa trẻ mặc bộ quần áo màu gì?,Đứa trẻ mặc bộ quần áo có phần trên màu đỏ và phần dưới màu xanh lam.
4273039295.csv,Đứa trẻ có đội mũ không?,"Có, đứa trẻ đội một chiếc mũ màu đen."
4273039295.csv,Có dấu vết gì trên tuyết không?,"Có, có dấu vết lốp xe trên tuyết."
4273039295.csv,Cái cây đứng ở vị trí nào trong ảnh?,Cái cây đứng ở bên trái khung hình.
4273039295.csv,Đứa trẻ mặc loại quần áo gì?,Đứa trẻ mặc bộ quần áo trượt tuyết mùa đông màu đỏ và xanh lam.
4273039295.csv,Màu sắc chủ đạo của bộ đồ là gì?,Màu sắc chủ đạo của bộ đồ là đỏ và xanh lam.
4273039295.csv,Có gì trên mặt đất?,Có tuyết trên mặt đất.
4273039295.csv,"Ngoài đứa trẻ, còn có dấu vết nào trên tuyết không?","Có, có những dấu vết trên tuyết có thể từ bước chân hoặc xe trượt tuyết."
4273039295.csv,Đứa trẻ đang làm gì trong bức ảnh?,Đứa trẻ đang đi bộ trên tuyết.
4273039295.csv,Đứa trẻ đang mặc trang phục gì?,"Đứa trẻ đang mặc mũ đen, áo khoác đỏ và trắng, và quần trượt tuyết màu xanh lam với sọc đỏ và trắng."
4273039295.csv,Đứa trẻ đang đi về hướng nào so với máy ảnh?,Đứa trẻ đang đi về phía xa máy ảnh.
4273039295.csv,Trong ảnh có nhìn thấy cây không?,"Có, có một số cây có thể nhìn thấy ở phía sau."
4273039295.csv,Đứa trẻ để lại gì trên tuyết?,Đứa trẻ để lại dấu chân trên tuyết.
4273039295.csv,Đứa trẻ đang mặc loại quần áo gì?,Đứa trẻ đang mặc một bộ đồ trượt tuyết mùa đông.
4273039295.csv,Bộ đồ trượt tuyết có màu gì?,Bộ đồ trượt tuyết có màu đỏ và xanh lam.
4273039295.csv,Môi trường trong ảnh như thế nào?,Môi trường trong ảnh là một cánh đồng tuyết.
4273039295.csv,Đứa trẻ đang di chuyển theo hướng nào so với máy ảnh?,Đứa trẻ đang đi khỏi máy ảnh.
4273039295.csv,"Ngoài đứa trẻ, còn có dấu vết gì trên tuyết?","Có những vệt hằn trên tuyết, có lẽ do xe cộ tạo ra."
4273039295.csv,Đứa trẻ đang đi ở đâu?,Đứa trẻ đang đi trên tuyết.
4273039295.csv,Đứa trẻ đang mặc loại trang phục gì?,Đứa trẻ đang mặc một bộ đồ trượt tuyết.
4273039295.csv,Màu sắc chủ yếu của bộ đồ trượt tuyết là gì?,Màu sắc chủ yếu của bộ đồ trượt tuyết là màu xanh lam và màu đỏ.
4273039295.csv,Hướng đi của đứa trẻ trong ảnh là gì?,Đứa trẻ đang đi quay lưng về phía người xem.
4273039295.csv,Có dấu vết gì trên tuyết không?,"Có, có dấu vết nơi đứa trẻ đã đi."
